P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,P114,P115,P116,P117,P118,P119,Clases
1150.641436,33285.19011,3062.582729,50694.65603,5971.771183,4026.428084,4271.289975,4543.693885,6320.193897,6703.878167,5747.630602,5181.386213,5069.392503,2960.36104,2219.811718,18132.61962,5526.231416,5023.399393,4163.481226,7906.156729,5783.122524,2673.767405,3832.12487,3228.656405,5903.454134,4880.831973,10317.97606,5429.308407,7402.897348,4080.089572,8252.865775,9740.342386,4246.099299,2388.618981,10733.27113,2099.518633,7197.917255,5219.076503,5498.044953,6616.204297,3881.321428,1835.318574,3821.853099,10470.83514,10080.91311,3934.582331,6999.139538,4279.055051,10405.8833,2954.439864,4658.380129,2578.188922,2802.110987,2213.219165,11745.11605,6049.363293,4315.912991,2618.612259,8962.34177,24554.55642,1622.084285,6719.394145,4963.832552,4263.375634,7542.513927,4262.365749,3912.637901,5645.948952,8312.790083,3774.368736,3387.04263,2634.567489,3767.470948,4634.675497,6129.65428,3811.881129,2807.821129,8121.005656,4774.938611,12383.26465,7476.206112,1293.007139,2513.4476,3513.092969,3281.83727,1683.680559,2681.94046,2593.763284,3299.593884,8508.012487,4237.478538,5019.941118,9339.433182,5919.807924,6331.983756,13359.50559,6538.751202,14308.68682,5342.286162,15215.90609,4789.427973,6618.557227,2951.899273,2176.693168,3864.457719,3464.701153,5280.479924,10097.71668,7553.252715,7390.26744,4065.18621,3313.647529,311.7919215,3166.833222,4065.923441,16255.40469,43465.54577,4121.344939,50.93367049,2
2055.759335,28835.03385,2834.296962,38195.25676,4534.007816,4209.276578,3628.420345,5065.464769,6719.394145,5276.752444,6583.982483,5031.04962,4812.157318,2562.570641,2967.474374,16521.0716,3609.083485,5053.158502,4695.750113,6945.486945,5671.660935,2741.158669,4007.398348,3619.58516,5870.192104,5530.623491,10258.38835,5433.331071,7689.869947,4137.537014,8368.762115,7408.768026,4868.509778,2903.287657,10994.38377,2682.416317,7549.513324,4926.12638,5826.686181,5985.918522,3494.216153,1848.65973,4218.788215,8463.026124,10805.44193,4217.887484,7107.273254,3745.823439,12806.60349,3007.28722,4601.888772,2691.557801,3071.406805,1975.292706,13883.77836,5398.762983,3697.987485,3403.256362,10853.81385,20977.85043,1851.85169,6810.404876,4190.217017,4190.901297,8725.36977,4410.904462,3468.408703,5684.920334,8745.167804,4161.843487,3367.765373,2627.196887,3474.799275,4930.134193,5003.658376,3735.725009,2594.957162,7725.034749,4895.217131,9780.154449,6798.731661,1732.497813,2642.340205,4039.094837,3124.53469,1619.877517,2144.958113,3922.154547,3380.910625,8962.34177,4042.416111,5171.585304,11175.5759,6233.138488,6817.247994,13748.64396,6208.460098,16488.49674,5636.163103,19495.1942,5456.377926,6794.971235,2265.105049,2040.645087,3011.265297,3405.613875,5632.769447,10103.15838,8744.050334,7657.198776,4786.644491,2688.489635,197.5666042,2496.860777,3883.80752,13427.12565,50694.65603,3676.447888,197.5666042,2
2761.244225,8481.455206,4412.334016,2657.812921,12020.36354,4414.665924,19495.1942,5242.913958,7223.970067,3639.447288,7265.095727,5125.751117,7652.247188,3968.998013,2817.52128,7268.624312,7617.860951,3803.269167,3541.37295,7353.548451,7128.014309,2657.775452,3903.485114,2893.06802,5443.570524,19410.88652,5004.770053,4299.649905,6487.747768,4140.43602,12198.24118,10203.52274,2016.010528,3106.713967,5601.031326,2760.41648,16488.49674,6090.490874,4634.149407,10235.99091,5164.220706,1514.118859,11542.15628,4265.751657,8793.315611,4293.584267,8301.006733,32756.68422,5650.731551,2209.622717,6312.974465,3157.332136,2161.32483,2207.319493,16521.0716,4318.218477,3368.67935,3659.342091,14519.48253,5363.224363,841.2065266,8662.366818,4670.232787,6086.355157,4774.793698,4459.436919,3424.419036,27770.36794,5965.824648,3919.452059,3061.853125,2826.569521,947.4182023,3999.419058,3796.334052,4419.069193,3071.976907,6300.946169,4100.498215,10331.51484,7535.605541,1044.413149,2610.977793,4881.296312,2472.211813,1782.030722,3097.106342,3321.701439,3841.166075,6128.875965,4869.690815,4901.71677,12383.26465,9327.049067,6571.828826,9552.729837,7628.970535,14494.62533,7731.487186,7334.567546,5097.399831,5908.39528,4886.590624,2960.36104,8460.857266,3687.944337,4264.678006,8051.949032,7351.10051,12929.44822,5666.84695,3542.36533,212.9685421,4460.747027,4899.8693,22605.59886,10163.92907,4008.542702,40.54959929,2
3697.474601,10722.42597,4628.527336,1824.556058,5250.218853,4938.443947,19410.88652,5229.664145,7060.463238,2846.312315,8280.354856,5541.279997,7943.146937,3485.692101,3056.696825,5808.703608,6026.113162,4586.367881,3493.366426,8212.425724,7093.052264,2584.077402,3697.935395,3415.665277,5584.624553,21465.89279,4483.772552,4964.996073,6528.223167,3948.071777,9580.513452,6014.69103,2162.709006,2968.361319,6029.768375,3035.800249,14796.87552,6691.423766,4981.292121,6514.194563,4432.009689,1619.200181,13903.49366,4118.56633,9388.632452,4058.752524,6664.754805,22129.84792,6589.740797,2216.915327,5444.571135,3080.247962,1999.180051,1442.974061,17103.48024,4263.237613,3678.635095,3306.458889,14671.91802,5159.576252,996.0951659,9316.018431,3851.112484,5076.758012,4485.416987,4338.568146,3822.019741,31483.90861,7932.269568,3814.308296,3532.872832,3348.776874,1361.262846,4262.365749,4025.716435,4679.624678,3063.812375,7567.114412,4319.922138,11965.94234,6581.516529,1098.301997,2819.842876,4430.717615,2053.264962,1842.683677,2353.429877,3313.374864,1081.416954,7425.107502,4891.483854,4749.771019,10253.79556,8360.594442,6191.928286,10150.3136,5777.312094,14025.85317,8907.707386,9211.899633,4908.34761,6042.272463,5096.638391,2477.703073,10754.03688,2835.034133,4768.448928,9608.291563,7871.650725,13043.99953,6086.808726,3511.601323,100.0191685,3141.441924,4262.017167,23993.1385,12496.94391,4861.20274,50.93367049,2
3280.464761,61131.81995,6379.979873,2193.978338,7424.377944,4333.092441,5677.776852,5418.120558,5671.660935,3803.269167,5969.815049,4292.493465,4135.46864,3273.347368,3123.254277,4863.127751,5205.19211,4220.890834,4415.966577,17524.00255,5205.680014,2570.517852,4800.384826,2266.049686,8254.37034,6547.701095,9718.945539,5714.594973,5055.772873,5814.624032,8564.869497,4623.192554,2641.825814,1835.184916,6207.793869,2893.52523,4695.113788,7165.361288,7310.617942,6309.581586,4530.992889,1073.876661,3570.770045,5959.904583,7943.146937,7998.167692,10316.01682,3372.466645,6719.394145,1908.648834,6798.731661,3079.970396,2480.237685,1466.569361,15628.6951,3879.033023,2534.555625,3995.777488,8621.728738,5869.491867,1442.974061,4482.628152,4802.658941,5459.606228,14106.69351,12927.00128,3104.568364,4242.570671,8644.803445,4245.160678,3331.197441,2248.963693,1426.274111,3775.447485,3830.954405,3579.958793,2641.751775,6065.833004,4377.972299,9224.709016,6624.700277,1619.877517,3764.568052,5443.570524,15184.80734,1853.166688,3734.653996,4246.751346,2728.576583,7428.388132,3610.390853,4532.081312,9627.291777,7383.309162,7823.668414,10998.49121,3319.124875,20977.85043,6216.941448,13223.92579,5838.097404,11720.85077,2942.40311,4224.149936,3932.020004,5971.771183,4327.247681,25488.08615,10546.90779,18647.41405,5497.863345,2532.159928,271.1741598,3533.284615,4808.373042,21465.89279,50694.65603,4290.477098,40.54959929,2
2235.830834,69022.20431,4913.590625,2418.680656,6574.542149,4787.459993,5544.210418,5963.83669,5353.079949,4058.945942,7264.631541,4119.358686,4600.669662,4063.472708,3464.701153,4683.214476,4925.315515,6391.81469,4554.085926,22605.59886,5908.729954,2562.570641,4679.963559,2808.957029,9267.461359,8047.432969,8839.761545,5315.662292,4317.777444,5257.575348,8368.35226,4263.375634,2642.279824,1652.406508,5729.876929,3087.847253,5150.435476,6294.894163,8205.105063,6547.701095,4370.279324,1198.10048,3677.743479,6054.225245,8858.884055,6763.769617,10698.99553,3308.912704,5957.272472,1866.801544,7552.133224,3687.634007,2594.957162,1761.683668,14308.68682,4432.009689,2809.34345,3503.768115,8801.470298,5585.032372,1488.817314,4646.432235,4047.443943,5404.281584,18132.61962,13613.06416,2943.407187,4274.321015,10715.28947,3841.166075,3070.4099,2681.096309,1441.573627,3387.04263,3174.882048,3870.083909,2851.373513,5731.801655,4320.875011,8043.199539,7079.951776,1198.928028,3735.978597,5647.938045,14161.43297,1878.934656,4131.563684,4412.334016,2308.447956,7355.080921,3628.245579,4319.922138,10009.34123,5516.046212,7285.159078,9867.875936,2543.82481,18381.74714,6467.315884,12221.69642,6088.387168,11034.0298,3522.849062,4037.254022,3795.15137,7386.755184,4671.423568,25488.08615,11409.24694,15906.0881,5093.653902,2307.749566,170.8007738,3283.964264,4251.599875,19495.1942,53220.62385,3785.974728,40.54959929,2
3096.404028,996.0951659,7351.915122,3697.025052,12162.43835,5168.040275,4110.079108,18553.14192,8139.664174,4363.771243,5305.452374,4715.529229,5121.691432,2714.481132,2916.883853,4954.4816,6425.439354,10480.44524,4967.397203,9505.951512,7204.357597,3328.58961,5963.83669,11088.64367,24554.55642,12241.18983,4389.720929,6297.748104,22853.43243,4183.171326,5682.741845,6468.392233,7220.095489,1269.215011,4531.137709,2086.084567,8501.495346,4133.155867,5137.975042,6028.525511,5026.265234,1635.322257,4242.570671,3552.121423,9951.75836,28835.03385,21038.63495,14519.48253,6191.928286,2747.052846,5046.355711,3139.581279,2710.422375,2066.916289,9641.226251,3368.331542,2570.238138,3096.198995,10087.06051,5257.355879,1732.497813,4420.296606,3395.556345,3840.793272,5156.703998,3697.254172,5188.921541,5093.653902,5972.08404,3676.133623,3888.57626,2885.520893,1947.612728,4336.069068,2215.854237,3729.13122,3831.749475,12774.59852,5838.228673,8895.403845,8416.744426,2610.299341,3175.674379,3860.744588,2250.695778,1749.37553,2323.047459,4078.456952,4554.432287,7375.007598,4429.847473,5326.90254,11362.13733,4714.847981,6044.792282,12950.65028,7916.908553,16754.16365,4419.069193,7494.239133,8279.73187,3283.492243,2601.819883,4647.185795,3089.065038,3601.017258,6416.694586,6595.638551,9267.461359,5681.340896,4891.483854,2100.45377,500.5046474,1441.573627,7402.897348,32756.68422,1587.918246,6643.113866,73.00473448,2
2592.20005,719.9886559,4295.391464,2763.588302,17284.54406,5536.340475,3987.490364,23414.85035,8161.824744,4620.98883,6728.631043,4694.967321,5743.71141,3854.002969,3327.558536,4554.185754,4909.032926,11612.20671,3871.803593,8758.519695,7797.585289,2835.423595,5217.675322,9189.197142,22426.17459,14308.68682,4283.125142,5385.891754,17789.66946,4018.826177,5925.419345,6251.881613,5578.296075,1220.348432,4185.430577,3010.378605,7256.930837,5845.365302,5070.183045,8508.012487,5522.204131,1343.696831,3434.362374,4119.898311,9650.999698,28835.03385,16488.49674,10307.5628,6710.214286,2574.602632,6796.81611,3012.581046,2337.605719,2176.11105,10908.62472,4429.345283,2736.910885,2862.033627,12221.69642,5221.627638,1582.468419,6844.926818,3961.106969,5665.115077,7002.529811,4928.661469,4559.051288,4918.223272,7722.305175,3533.132924,3192.739813,2767.467375,1669.735293,3959.850527,2594.658241,3822.25678,3821.411168,11453.54553,4877.470036,6562.507237,11817.40377,1963.705478,3639.966817,4806.666228,2692.278187,1712.186693,3629.541058,3332.394537,4315.912991,8416.744426,3929.38025,5803.144567,14705.42104,4710.668657,6514.194563,13223.92579,5311.660986,22605.59886,5160.401206,7709.276639,7172.426471,4045.128018,2503.929486,4305.722413,3349.584534,5220.339204,6151.088032,8083.837619,9952.002487,6616.204297,4991.845219,2206.401737,651.7867144,1839.505912,5923.548008,32756.68422,414.1469452,4670.032893,63.205045,2
1336.0777,351.9370402,3398.373237,4079.805815,4577.054425,3080.333586,4865.007194,4289.575484,69022.20431,3292.360678,7196.403681,6291.998743,8834.134699,3561.196286,15906.0881,6157.790552,5205.680014,3090.625812,4912.390682,10161.42897,5649.904122,3513.092969,4553.14303,3415.233251,8011.374797,4812.189684,4359.88378,5152.967903,7102.565282,3967.71921,8549.887511,3600.333908,4213.864069,1198.928028,5859.574166,4237.570254,7378.056029,6352.120798,6135.031901,7495.165489,5758.267377,2458.050016,12764.71177,12842.00622,25488.08615,4054.600383,9477.055736,5177.591084,12651.75379,13815.05747,5151.224855,3106.713967,2420.914605,4078.23012,15978.01169,8780.173837,4112.100695,3219.968064,9197.196914,4304.19559,1291.55585,7846.850566,6105.034278,11484.98207,10158.6324,4391.214362,3114.897598,5474.450783,9052.070698,3424.897639,3020.275345,2339.965278,1488.817314,3658.52929,6191.928286,3874.636879,2547.381415,5714.479967,11817.40377,6592.26071,18132.61962,1959.645078,2713.39209,4089.628324,2255.874079,1976.307687,5201.796261,7136.919511,20352.93879,6156.699453,6250.897651,4854.351613,9862.273559,6309.581586,5428.572181,8119.72269,4522.979576,6445.825222,4659.517734,7746.877661,4009.057841,5215.336524,2761.244225,2569.681894,5106.415545,3435.790896,4250.828162,43465.54577,7191.202348,4738.197062,3832.12487,1922.668035,593.2294144,1449.941026,4122.096482,22605.59886,1701.694564,3726.156252,800.9953068,2
971.7544417,236.9509949,3854.477956,4140.824547,4951.125224,3687.289166,4460.55146,4659.091628,69022.20431,3463.594799,9004.174709,5745.389231,7657.198776,3325.588012,13195.74185,6000.944876,6042.272463,3380.092791,4970.697162,9197.196914,5823.197554,3124.363741,4432.009689,3774.152943,8848.248623,4956.398084,4554.085926,4925.315515,5537.28435,4234.518308,7694.517366,3812.608488,3890.193753,1648.262073,6054.225245,3580.241421,6900.423973,6312.974465,6212.526283,7442.322744,5314.526687,2384.499601,9463.000909,12198.24118,30827.71065,4075.609013,8772.480494,4269.885384,13081.85098,15767.21599,5817.702482,3230.699475,2689.228468,3436.654517,14601.09008,7889.595012,3601.310138,3149.195773,11574.84855,4146.670062,1794.00374,8793.315611,5747.630602,17517.63612,12162.43835,4976.034235,2925.41903,4812.157318,10306.98045,3821.853099,3687.634007,2736.409963,1702.896744,3985.964722,5763.297494,4222.109046,2435.510005,6770.263991,10307.5628,7265.323421,20352.93879,2216.915327,2697.721661,4047.443943,2523.887721,2083.485664,5062.998893,6689.782402,22605.59886,6684.768978,5380.333661,4753.152028,10470.83514,5748.127487,6170.437625,8327.71418,4192.830937,7926.402278,5057.157938,8603.229214,4419.069193,5069.482783,2925.881898,3027.514552,5300.780986,3407.202131,4118.56633,43465.54577,8116.272846,4646.806172,3965.718564,2002.268718,151.6210499,1175.1359,3161.623857,16941.5939,1922.987656,3100.837624,539.7340608,2
